badge_id,badge_title,issuer_unit,taxonomy_category,taxonomy_type,taxonomy_level,self_declared_level,pathway_position,audience_signal,confidence,reviewer_status,primary_skill_category,learning_outcome_summary,delivery_mode,source_dataset
B001,2026 Infrastructure Forum,LDI,Continuing & Professional Education,Souvenir,Souvenir,None,Standalone,Industry/Professional,High,Pending,Professional Development,Build professional skills through guided learning experiences,Workshop,master_dataset
B002,AI in the Workplace,LDI,Continuing & Professional Education,Achievement,Foundational,Foundation-Int,Standalone,Working professionals,Medium,Pending,AI / ML,Apply AI concepts and tools in academic or professional settings,Hybrid,master_dataset
B003,AI for Administrative Efficiency,LDI,Faculty & Staff Development,Achievement,Milestone,None,3rd of 3,Educator/Faculty,High,Pending,AI / ML,Apply AI concepts and tools in academic or professional settings,Hybrid,master_dataset
B004,Introduction to AI in Education,LDI,Faculty & Staff Development,Achievement,Foundational,Foundation,1st of 3,Educator/Faculty,High,Pending,AI / ML,Apply AI concepts and tools in academic or professional settings,Hybrid,master_dataset
B005,AI-Enhanced Instructional Practices,LDI,Faculty & Staff Development,Achievement,Milestone,None,2nd of 3,Educator/Faculty,High,Pending,AI / ML,Apply AI concepts and tools in academic or professional settings,Hybrid,master_dataset
B006,Adaptability & Lifelong Learning with AI,LDI,Faculty & Staff Development,Achievement,Milestone,Foundation,3rd Cluster 1,Broad/Faculty,High,Pending,AI / ML,Apply AI concepts and tools in academic or professional settings,Hybrid,master_dataset
B007,AI Literacy and Fundamentals,LDI,Faculty & Staff Development,Achievement,Milestone,Foundation,2nd Cluster 1,Broad/Faculty,High,Pending,AI / ML,Apply AI concepts and tools in academic or professional settings,Hybrid,master_dataset
B008,AI in Context: History & Interdisciplinary,LDI,Faculty & Staff Development,Achievement,Foundational,None,1st Cluster 1,Broad/Faculty,High,Pending,AI / ML,Apply AI concepts and tools in academic or professional settings,Hybrid,master_dataset
B009,PM Healthcare — Course 1: Introduction,LDI,Continuing & Professional Education,Achievement,Foundational,Foundation,1st of 4,Healthcare professionals,High,Pending,Professional Development,Apply project management concepts in healthcare contexts,Hybrid,master_dataset
B010,PM Healthcare — Course 2: Intermediate,LDI,Continuing & Professional Education,Achievement,Milestone,Intermediate,2nd of 4,Healthcare professionals,High,Pending,Professional Development,Apply project management concepts in healthcare contexts,Hybrid,master_dataset
B011,PM Healthcare — Course 3: Advanced,LDI,Continuing & Professional Education,Achievement,Milestone,Advanced,3rd of 4,Healthcare professionals,High,Pending,Professional Development,Apply project management concepts in healthcare contexts,Hybrid,master_dataset
B012,PM Healthcare — Course 4: Agile,LDI,Continuing & Professional Education,Achievement,Milestone,Advanced,4th of 4,Healthcare professionals,High,Pending,Professional Development,Apply project management concepts in healthcare contexts,Hybrid,master_dataset
B013,Make 101: Introduction to Makerspace,Makerspace,Academic,Skill,Awareness,Foundation,Parallel 1 of 3,Students/Faculty,High,Pending,Academic Skills,Build hands-on prototyping and makerspace skills,Workshop,master_dataset
B014,Make 102: Introduction to CO2 Laser Cutting,Makerspace,Academic,Skill,Application,Foundation,Parallel 1 of 3,Students/Faculty,High,Pending,Academic Skills,Apply laser cutting techniques safely and effectively,Workshop,master_dataset
B015,Make 103: Introduction to 3D Printing,Makerspace,Academic,Skill,Application,Foundation,Parallel 1 of 3,Students/Faculty,High,Pending,Academic Skills,Apply 3D printing techniques for prototyping and fabrication,Workshop,master_dataset
B016,Make 242: Introduction to Woodshop,Makerspace,Academic,Skill,Application,Foundation,Standalone,Students/Faculty,High,Pending,Academic Skills,Use woodshop tools safely for fabrication projects,Workshop,master_dataset
B017,MakerSpeak: Iterate to Innovate,Makerspace,Academic,Souvenir,Souvenir,None,Standalone,Students/Engineers,High,Pending,Academic Skills,Build hands-on prototyping and makerspace skills,Workshop,master_dataset
B018,Change Management Capstone,OSIL,Co-Curricular and Extra-Curricular,Achievement,Terminal,Terminal,End of Pathway,Students,High,Pending,Leadership,Apply change management strategies in practical scenarios,Hybrid,master_dataset
B019,Change Management — Foundational,OSIL,Co-Curricular and Extra-Curricular,Achievement,Foundational,Foundation,1st of 3,Students,High,Pending,Leadership,Apply change management strategies in practical scenarios,Hybrid,master_dataset
B020,Strategic Thinking Capstone,OSIL,Co-Curricular and Extra-Curricular,Achievement,Terminal,Terminal,End of Pathway,Students,High,Pending,Leadership,Strengthen strategic analysis and decision-making skills,Hybrid,master_dataset
B021,Change Management — Intermediate,OSIL,Co-Curricular and Extra-Curricular,Achievement,Milestone,Milestone,2nd of 3,Students,High,Pending,Leadership,Apply change management strategies in practical scenarios,Hybrid,master_dataset
B022,Entrepreneurial Experience Badge,OSIL,Co-Curricular and Extra-Curricular,Competency,Demonstrated,Intermediate,Standalone,Students/Entrepreneurs,Medium,Pending,Professional Development,Develop entrepreneurial thinking and practical business skills,Hybrid,master_dataset
B023,Workplace Readiness Capstone,OSIL,Co-Curricular and Extra-Curricular,Achievement,Terminal,Terminal,End of Pathway,Students,High,Pending,Professional Development,Develop workplace skills that improve career preparedness,Hybrid,master_dataset
B024,Entrepreneurship Essentials Badge,OSIL,Co-Curricular and Extra-Curricular,Achievement,Foundational,Foundation,Standalone,Students,High,Pending,Professional Development,Develop entrepreneurial thinking and practical business skills,Hybrid,master_dataset
B025,NJIT/NYSCC Formulation Workshop,NCE,Academic,Skill,Awareness,Foundation,Standalone,Engineering students,High,Pending,Academic Skills,Apply formulation and engineering concepts in lab settings,Workshop,master_dataset
